Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-04-16T13:23:00.560Z,"""","""",""Free"",""auto"",""No"",""0"",""201065"",""10752"",""396"",""212213"",""Free"""
"2026-04-16T13:07:37.941Z,"""","""",""Free"",""auto"",""No"",""0"",""432888"",""2951168"",""4381"",""3388437"",""Free"""
"2026-04-16T12:50:27.361Z,"""","""",""Free"",""auto"",""No"",""0"",""1592"",""119296"",""111"",""120999"",""Free"""
"2026-04-16T12:44:29.732Z,"""","""",""Free"",""auto"",""No"",""0"",""838332"",""6001664"",""18039"",""6858035"",""Free"""
"2026-04-16T12:35:15.384Z,"""","""",""Free"",""auto"",""No"",""0"",""20170"",""165376"",""252"",""185798"",""Free"""
"2026-04-16T12:24:24.426Z,"""","""",""Free"",""auto"",""No"",""0"",""374459"",""4022272"",""8706"",""4405437"",""Free"""
"2026-04-16T12:16:32.914Z,"""","""",""Free"",""auto"",""No"",""0"",""18904"",""145920"",""1068"",""165892"",""Free"""
"2026-04-16T12:09:00.197Z,"""","""",""Free"",""auto"",""No"",""0"",""770384"",""4595712"",""22545"",""5388641"",""Free"""
"2026-04-16T12:03:10.450Z,"""","""",""Free"",""auto"",""No"",""0"",""288709"",""800256"",""5534"",""1094499"",""Free"""
"2026-04-16T12:02:15.693Z,"""","""",""Free"",""auto"",""No"",""0"",""148568"",""1191424"",""18236"",""1358228"",""Free"""
"2026-04-16T11:54:42.726Z,"""","""",""Free"",""auto"",""No"",""0"",""124793"",""691200"",""8386"",""824379"",""Free"""
"2026-04-16T11:52:36.341Z,"""","""",""Free"",""auto"",""No"",""0"",""121035"",""7680"",""797"",""129512"",""Free"""
"2026-04-16T11:52:11.290Z,"""","""",""Aborted, Not Charged"",""auto"",""No"",""0"",""0"",""0"",""0"",""0"",""Free"""
"2026-04-16T11:50:57.015Z,"""","""",""Free"",""auto"",""No"",""0"",""116904"",""10752"",""2143"",""129799"",""Free"""
"2026-04-16T11:42:53.752Z,"""","""",""Free"",""auto"",""No"",""0"",""381696"",""5592576"",""56232"",""6030504"",""Free"""
"2026-04-16T11:42:36.572Z,"""","""",""Free"",""auto"",""No"",""0"",""117272"",""394240"",""4635"",""516147"",""Free"""
"2026-04-16T11:40:36.712Z,"""","""",""Free"",""auto"",""No"",""0"",""9578"",""32640"",""2042"",""44260"",""Free"""
"2026-04-16T11:40:36.556Z,"""","""",""Free"",""auto"",""No"",""0"",""43556"",""142208"",""4097"",""189861"",""Free"""
"2026-04-16T11:40:20.668Z,"""","""",""Free"",""auto"",""No"",""0"",""26816"",""29312"",""838"",""56966"",""Free"""
"2026-04-16T11:39:53.368Z,"""","""",""Free"",""auto"",""No"",""0"",""10078"",""100352"",""757"",""111187"",""Free"""
"2026-04-16T11:38:49.335Z,"""","""",""Free"",""auto"",""No"",""0"",""14956"",""155648"",""2051"",""172655"",""Free"""
"2026-04-16T11:37:57.484Z,"""","""",""Free"",""auto"",""No"",""0"",""1424"",""123776"",""467"",""125667"",""Free"""
